Uid,Name,Description,SellPrice,StarCost
1,에스프레소,강한 풍미와 진한 농도를 자랑하는 커피의 기본이 되는 음료.,2,50
2,아메리카노,에스프레소에 물을 추가해 부드럽게 즐길 수 있는 커피.,4,100
3,카페라떼,에스프레소에 우유를 더해 부드럽고 크리미한 맛이 나는 커피.,8,150
4,카페모카,에스프레소에 초콜릿 시럽과 우유를 더해 부드럽고 달콤한 맛을 내는 커피 음료.,16,200
4,캬라멜 마끼아토,에스프레소와 우유 위에 캬라멜 시럽을 얹은 달콤한 커피.,32,250
5,콜드브루,차가운 물에 오랜 시간 우려내어 만든 깔끔하고 상쾌한 커피.,64,300
6,자몽 에이드,자몽의 상큼함과 청량감을 즐길 수 있는 에이드.,128,350
7,레몬 에이드,레몬의 신선한 맛을 살린 상쾌한 음료.,256,400
8,블루베리 에이드,블루베리의 달콤함과 탄산이 어우러진 에이드.,512,450
9,블루레몬 에이드,블루큐라소와 레몬이 조화를 이루어 색감이 독특하고 상큼한 에이드,1024,500
10,트로피칼 에이드,다양한 열대 과일의 풍미가 담긴 에이드.,2048,550
11,메론 소다,달콤한 메론 맛이 나는 탄산 음료.,4096,600
12,자바칩 푸라푸치노,초콜릿 칩과 커피가 어우러진 시원한 블렌디드 음료.,8192,650
13,딸기 푸라푸치노,딸기의 달콤한 맛을 담은 블렌디드 음료.,16384,700
14,망고 푸라푸치노,망고의 진한 맛이 살아있는 블렌디드 음료.,32768,750
15,녹차 푸라푸치노,녹차의 쌉싸름함과 시원함을 함께 느낄 수 있는 음료.,65536,800
16,오레오 푸라푸치노,오레오와 커피가 조화를 이루는 달콤한 블렌디드 음료.,131072,850
17,토마토 주스,신선한 토마토로 만든 건강한 주스.,262144,900
18,수박 주스,여름철 인기 있는 수박의 시원한 맛을 살린 주스.,524288,950
19,키위 주스,키위의 새콤달콤한 맛이 특징인 주스.,1048576,1000
20,블루베리 스무디,블루베리를 얼음과 함께 갈아 만든 시원한 스무디.,2097152,1050
21,초코 바나나 스무디,초콜릿과 바나나가 어우러진 달콤한 스무디.,4194304,1100
22,타로 밀크티,쫄깃한 펄이 들어간 타로 밀크티.,8388608,1150
23,모히또,라임과 민트의 상쾌한 조합을 즐길 수 있는 음료.,16777216,1200
24,뱅쇼,와인에 과일과 향신료를 넣어 끓여 마시는 따뜻한 음료.,33554432,1250
25,흑임자 라떼,고소한 흑임자의 깊은 풍미가 우유와 조화를 이룬 음료.,67108864,1300
26,체리 블라썸,벚꽃 시럽과 라떼가 어우러져 달콤하고 은은한 벚꽃 향을 느낄 수 있는 음료.,134217728,1350
