Uid,Name,Description,SellPrice,StarOnePrice,StarTwoPrice,StarThreePrice
101,모닝빵,아침 식사에 자주 먹는 부드럽고 달콤한 작은 빵,2,50,150,450
102,햄치즈롤빵,햄과 치즈가 말린 형태로 속에 들어간 롤빵,4,100,300,900
103,식빵,토스트나 샌드위치로 많이 사용하는 네모난 흰빵,8,150,450,1350
104,꽈배기,꼬인 모양의 튀긴 달콤한 도넛 형태의 빵,16,200,600,1800
105,바게트,길고 바삭한 프랑스식 흰 빵,32,250,750,2250
106,베이글,겉은 바삭하고 속은 쫄깃한 동그란 빵,64,300,900,2700
107,프레즐,소금이 뿌려진 꼬인 모양의 짭짤한 빵,128,350,1050,3150
108,소금빵,버터를 베이스로 소금이 뿌려진 바삭하고 고소한 빵,256,400,1200,3600
109,크로와상,버터가 많이 들어간 바삭하고 결이 있는 페이스트리,512,450,1350,4050
110,카스테라,촉촉하고 부드러운 달걀을 많이 사용한 스폰지 케이크,1024,500,1500,4500
111,단팥빵,달콤한 팥소를 속에 넣은 빵,2048,550,1650,4950
112,커피번,달콤하고 바삭한 커피 맛 크러스트가 얹힌 빵,4096,600,1800,5400
113,고로케,속에 다양한 재료가 들어간 빵가루를 입힌 튀긴 빵,8192,650,1950,5850
114,메론빵,겉이 바삭하고 달콤한 메론 모양의 일본식 빵,16384,700,2100,6300
115,초코소라빵,초코 크림이 들어간 소라 모양의 달콤한 빵,32768,750,2250,6750
116,뺑오쇼콜라,초콜릿이 들어간 페이스트리 빵,65536,800,2400,7200
117,마늘육쪽빵,6개로 나눠진 빵 사이 마늘과 버터가 들어간 빵,131072,850,2550,7650
118,소시지빵,소시지가 들어간 미국식 핫도그 빵,262144,900,2700,8100
119,피자빵,핫도그와 피자가 섞인 독특한 한국식 빵,524288,950,2850,8550
120,계란샌드위치,삶은 달걀과 마요네즈를 섞어 넣은 샌드위치,1048576,1000,3000,9000
121,햄버거,번 사이에 고기 패티와 채소를 넣은 샌드위치,2097152,1050,3150,9450
122,파니니샌드,햄과 치즈가 들어간 그릴에 구운 샌드위치,4194304,1100,3300,9900
123,애플파이,달콤한 사과 필링을 넣은 파이,8388608,1150,3450,10350
124,미트파이,고기와 그레이비를 넣은 파이,16777216,1200,3600,10800
125,정어리파이,페이스트리에 정어리를 넣은 영국의 파이,33554432,1250,3750,11250
126,앙쿠르트 스프,스프 위에 페이스트리 반죽을 덮어 구운 요리,67108864,1300,3900,11700
127,허니브레드,구운 식빵에 생크림과 캐러멜시럽 시나몬 파우더로 토핑한 빵,134217728,1350,4050,12150
